"level_id","title","new_mechanic","primary_goal","expert_goal","story_focus","target_seconds"
"1-1","第一盞燈","居民選取與療護站","完成4位病患","無人離院","接手療癒所與認識莉歐娜","150"
"1-2","先看清楚","觀察站與兩步療程","正確完成6次觀察","平均安定度80以上","奧連檢視舊病例簿","165"
"1-3","雲朵麵包","設備路徑與手動優先","完成米菈的療程","不手動搬動病患","米菈第一次出現噴嚏雲","180"
"1-4","第一帖藥","調製站與藥劑台","完成5份調製工作","無調製工作逾時","修復舊藥劑台","180"
"1-5","月芽綻放","技能充能與月芽綻放","使用2次搭檔技能","每次都處理急迫居民","柯姆示範搭檔協作","180"
"1-6","先坐下喝茶","安撫站與焦慮特徵","無病患降至20以下","維持最高流暢度15秒","居民重新使用候診茶席","195"
"1-7","你的療癒所","自由配置房間","使用指定設備完成班次","步行總距離低於門檻","玩家決定第一個房間配置","210"
"1-8","亂成一團","站點暫時失焦","恢復3次失焦站點","不使用班前道具","星潮第一次干擾班次","195"
"1-9","一起工作","員工主動技能","觸發3次技能效果","同波觸發協作","莉歐娜與奧連調整合作方式","210"
"1-10","寄不出的話","迴音語","完成托比的重複療程","逾時不超過2次","托比的信件故事","225"
"1-11","暖燈高峰","搭檔技能輪替與高峰門診","服務10位病患","三種技能各使用一次","暖燈街居民共同來訪","240"
"1-12","滿街的噴嚏雲","三階段星潮危機","完成米菈與街區的治療","達成星冠","修復暖燈街地標","300"
